pointid,grid_code,POINT_X,POINT_Y
118,-1657.5024414,-104.679901975694236,31.906154229837512
119,-1724.2536621,-104.674988399007987,31.906154229837512
120,-1724.2536621,-104.670074822321737,31.906154229837512
121,-1781.8608398,-104.665161245635545,31.906154229837512
122,-1781.8608398,-104.660247668949296,31.906154229837512
123,-1839.7728271,-104.655334092263047,31.906154229837512
124,-1839.7728271,-104.650420515576798,31.906154229837512
125,-1901.6472168,-104.645506938890549,31.906154229837512
126,-1901.6472168,-104.640593362204243,31.906154229837512
127,-1962.3023682,-104.635679785518164,31.906154229837512
128,-1962.3023682,-104.630766208831858,31.906154229837512
129,-1962.3023682,-104.625852632145609,31.906154229837512
130,-2018.6904297,-104.620939055459360,31.906154229837512
131,-2018.6904297,-104.616025478773224,31.906154229837512
132,-2073.5544434,-104.611111902086975,31.906154229837512
133,-2073.5544434,-104.606198325400726,31.906154229837512
134,-2127.8088379,-104.601284748714534,31.906154229837512
135,-2127.8088379,-104.596371172028284,31.906154229837512
136,-2171.6999512,-104.591457595342035,31.906154229837512
137,-2187.5495605,-104.586544018655786,31.906154229837512
138,-2230.2216797,-104.581630441969537,31.906154229837512
139,-2230.2216797,-104.576716865283231,31.906154229837512
140,-2274.1127930,-104.571803288597096,31.906154229837512
141,-2274.1127930,-104.566889711910846,31.906154229837512
142,-2314.3464355,-104.561976135224597,31.906154229837512
143,-2314.3464355,-104.557062558538348,31.906154229837512
144,-2314.3464355,-104.552148981852042,31.906154229837512
145,-2353.3608398,-104.547235405165964,31.906154229837512
146,-2353.3608398,-104.542321828479714,31.906154229837512
147,-2392.9848633,-104.537408251793408,31.906154229837512
148,-2392.9848633,-104.532494675107273,31.906154229837512
149,-2432.6088867,-104.527581098421024,31.906154229837512
150,-2432.6088867,-104.522667521734775,31.906154229837512
151,-2474.3664551,-104.517753945048526,31.906154229837512
152,-2474.3664551,-104.512840368362220,31.906154229837512
153,-2517.0383301,-104.507926791676084,31.906154229837512
154,-2517.0383301,-104.503013214989835,31.906154229837512
155,-2559.7104492,-104.498099638303586,31.906154229837512
156,-2559.7104492,-104.493186061617337,31.906154229837512
157,-2559.7104492,-104.488272484931031,31.906154229837512
158,-2601.7729492,-104.483358908244895,31.906154229837512
159,-2601.7729492,-104.478445331558703,31.906154229837512
160,-2642.0063477,-104.473531754872397,31.906154229837512
161,-2642.0063477,-104.468618178186262,31.906154229837512
162,-2682.5449219,-104.463704601500012,31.906154229837512
163,-2682.5449219,-104.458791024813763,31.906154229837512
164,-2723.6928711,-104.453877448127514,31.906154229837512
165,-2723.6928711,-104.448963871441208,31.906154229837512
166,-2763.0119629,-104.444050294755073,31.906154229837512
167,-2763.0119629,-104.439136718068823,31.906154229837512
168,-2800.5024414,-104.434223141382574,31.906154229837512
169,-2800.5024414,-104.429309564696325,31.906154229837512
170,-2837.3833008,-104.424395988010019,31.906154229837512
171,-2837.3833008,-104.419482411323884,31.906154229837512
172,-2837.3833008,-104.414568834637691,31.906154229837512
173,-2873.6545410,-104.409655257951385,31.906154229837512
174,-2873.6545410,-104.404741681265136,31.906154229837512
175,-2910.2304688,-104.399828104579001,31.906154229837512
176,-2921.8127441,-104.394914527892752,31.906154229837512
177,-2959.3032227,-104.390000951206503,31.906154229837512
178,-2959.3032227,-104.385087374520197,31.906154229837512
179,-2996.4887695,-104.380173797834061,31.906154229837512
